"age","sex","quantile","value","unit","lab"
27,"female",0.15,4.99913895486936,"x10E3/uL","WBC"
27,"female",0.25,5.57721183800623,"x10E3/uL","WBC"
27,"female",0.35,6.04626582278481,"x10E3/uL","WBC"
27,"female",0.5,6.68792297706621,"x10E3/uL","WBC"
27,"female",0.65,7.48349459598559,"x10E3/uL","WBC"
27,"female",0.75,8.09381676808654,"x10E3/uL","WBC"
27,"female",0.85,8.98144986449865,"x10E3/uL","WBC"
27,"female",0.9,9.67479166666667,"x10E3/uL","WBC"
27,"female",0.97,11.817923076923,"x10E3/uL","WBC"
27,"female",0.99,14.3831153846154,"x10E3/uL","WBC"
27,"female",1,NA,"x10E3/uL","WBC"
28,"female",0,NA,"x10E3/uL","WBC"
28,"female",0.01,3.19974207650273,"x10E3/uL","WBC"
28,"female",0.03,3.78848208416834,"x10E3/uL","WBC"
28,"female",0.1,4.66608163265306,"x10E3/uL","WBC"
28,"female",0.15,4.99234333733493,"x10E3/uL","WBC"
28,"female",0.25,5.54757575757575,"x10E3/uL","WBC"
28,"female",0.35,5.99453333333333,"x10E3/uL","WBC"
28,"female",0.5,6.67821905609973,"x10E3/uL","WBC"
28,"female",0.65,7.39944739884393,"x10E3/uL","WBC"
28,"female",0.75,8.09074177746676,"x10E3/uL","WBC"
28,"female",0.85,8.92525714285715,"x10E3/uL","WBC"
28,"female",0.9,9.63884,"x10E3/uL","WBC"
28,"female",0.97,11.882176119403,"x10E3/uL","WBC"
28,"female",0.99,14.4902095238095,"x10E3/uL","WBC"
28,"female",1,NA,"x10E3/uL","WBC"
29,"female",0,NA,"x10E3/uL","WBC"
29,"female",0.01,3.2704125,"x10E3/uL","WBC"
29,"female",0.03,3.78707689908257,"x10E3/uL","WBC"
29,"female",0.1,4.60033333333334,"x10E3/uL","WBC"
29,"female",0.15,4.987849375,"x10E3/uL","WBC"
29,"female",0.25,5.49832045454546,"x10E3/uL","WBC"
29,"female",0.35,5.98899955908289,"x10E3/uL","WBC"
29,"female",0.5,6.67348463356974,"x10E3/uL","WBC"
29,"female",0.65,7.39644648511716,"x10E3/uL","WBC"
29,"female",0.75,8.05870098039215,"x10E3/uL","WBC"
29,"female",0.85,8.92183802816902,"x10E3/uL","WBC"
29,"female",0.9,9.62043749999999,"x10E3/uL","WBC"
29,"female",0.97,11.8090523809524,"x10E3/uL","WBC"
29,"female",0.99,14.38795,"x10E3/uL","WBC"
29,"female",1,NA,"x10E3/uL","WBC"
30,"female",0,NA,"x10E3/uL","WBC"
30,"female",0.01,3.19816242774566,"x10E3/uL","WBC"
30,"female",0.03,3.78562078947368,"x10E3/uL","WBC"
30,"female",0.1,4.58576569821931,"x10E3/uL","WBC"
30,"female",0.15,4.9837990105133,"x10E3/uL","WBC"
